,Topic,Count,Name,Representation,Representative_Docs
0,0,586,0_de_je_op_en,"['de', 'je', 'op', 'en', 'het', 'stemmen', 'voor', 'van', 'in', 'tweede']",
1,1,459,1_dat_het_de_ik,"['dat', 'het', 'de', 'ik', 'en', 'is', 'die', 'ja', 'maar', 'uh']",
2,2,298,2_jetten_d66_rob_de,"['jetten', 'd66', 'rob', 'de', 'van', 'een', 'en', 'het', 'in', 'te']",
3,3,178,3_the_and_to_that,"['the', 'and', 'to', 'that', 'it', 'of', 'you', 'for', 'they', 'on']",
4,4,277,4_timmermans_de_van_frans,"['timmermans', 'de', 'van', 'frans', 'het', 'pvda', 'en', 'op', 'een', 'in']",
5,5,167,5_cda_bontenbal_henri_de,"['cda', 'bontenbal', 'henri', 'de', 'het', 'een', 'van', 'en', 'niet', 'dat']",
6,6,97,6_gaza_van_israel_de,"['gaza', 'van', 'israel', 'de', 'israël', 'en', 'in', 'het', 'the', 'genocide']",
7,7,105,7_timmermans_ai_aangifte_frans,"['timmermans', 'ai', 'aangifte', 'frans', 'afbeeldingen', 'van', 'de', 'groenlinks', 'pvv', 'pvda']",
8,8,149,8_vvd_yesilgöz_de_dilan,"['vvd', 'yesilgöz', 'de', 'dilan', 'en', 'dat', 'niet', 'het', 'met', 'is']",
9,9,307,9_wilders_pvv_de_geert,"['wilders', 'pvv', 'de', 'geert', 'hij', 'van', 'een', 'het', 'zijn', 'is']",
10,10,84,10_klimaat_het_dat_de,"['klimaat', 'het', 'dat', 'de', 'die', 'en', 'is', 'niet', 'we', 'op']",
11,11,96,11_der_den_und_die,"['der', 'den', 'und', 'die', 'das', 'wilders', 'mit', 'zu', 'nicht', 'von']",
12,12,414,12_lidewij_vos_fvd_de,"['lidewij', 'vos', 'fvd', 'de', 'nederland', 'voor', 'https', 'forum', 'co', 'democratie']",
13,13,142,13_boeren_plas_bbb_caroline,"['boeren', 'plas', 'bbb', 'caroline', 'van', 'het', 'de', 'der', 'dat', 'in']",
14,14,91,14_gweverstegen_me_https_clone,"['gweverstegen', 'me', 'https', 'clone', 'fellow', 'van', 'original', 'lidewij', 'de', 'en']",
15,15,72,15_scholen_bontenbal_onderwijs_vrijheid,"['scholen', 'bontenbal', 'onderwijs', 'vrijheid', 'dat', 'van', 'cda', 'het', 'artikel', 'de']",
16,16,62,16_basispakket_het_behandelingen_cpb,"['basispakket', 'het', 'behandelingen', 'cpb', 'jetten', 'zorg', 'd66', 'the', 'medicijnen', 'in']",
17,17,91,17_dijk_jimmy_sp_bassie,"['dijk', 'jimmy', 'sp', 'bassie', 'clown', 'de', 'wilders', 'debatvanhetzuiden', 'van', 'co']",
18,18,54,18_jetten_d66_rob_hij,"['jetten', 'd66', 'rob', 'hij', 'de', 'tegen', 'het', 'van', 'asiel', 'winther']",
19,19,50,19_uw_ambassade_buitenland_haag,"['uw', 'ambassade', 'buitenland', 'haag', 'nederlandse', 'post', 'briefstembewijs', 'stembiljet', 'den', 'kopie']",
20,20,86,20_uh_ja_ik_dat,"['uh', 'ja', 'ik', 'dat', 'en', 'maar', 'je', 'is', 'dan', 'het']",
21,21,83,21_eh_dat_ja_we,"['eh', 'dat', 'ja', 'we', 'je', 'ook', 'ik', 'een', 'en', 'het']",
22,22,43,22_cijfers_spaanse_deals_uitgeprocedeerde,"['cijfers', 'spaanse', 'deals', 'uitgeprocedeerde', 'timmermans', 'succesvol', 'asielzoekers', 'frans', 'landen', 'mxqy30l7qv']",
23,23,41,23_der_amsterdam_niederlande_die,"['der', 'amsterdam', 'niederlande', 'die', 'und', 'in', 'auf', 'den', 'eu', 'das']",
24,24,80,24_eerdmans_ja21_cpb_joost,"['eerdmans', 'ja21', 'cpb', 'joost', 'de', 'het', 'niet', 'wat', 'dat', 'is']",
25,25,66,25_il_wilders_le_la,"['il', 'wilders', 'le', 'la', 'un', 'di', 'og', 'et', 'geert', 'les']",
26,26,39,26_geld_dat_span_uitgeeft,"['geld', 'dat', 'span', 'uitgeeft', 'overheid', 'de', 'jaarlijks', 'overhouden', 'zodat', 'nederland']",
27,27,47,27_mirjam_bikker_het_ik,"['mirjam', 'bikker', 'het', 'ik', 'in', 'van', 'de', 'met', 'cu', 'christenunie']",
28,28,45,28_vos_fvd_lidewij_ik,"['vos', 'fvd', 'lidewij', 'ik', 'visie', 'het', 'en', 'de', 'met', 'je']",
29,29,43,29_update_wilders_debat_het,"['update', 'wilders', 'debat', 'het', 'was', 'the', 'de', 'sbs', 'een', 'dat']",
30,30,101,30_el_la_que_the,"['el', 'la', 'que', 'the', 'del', 'se', 'las', 'los', 'ha', 'wilders']",
31,31,43,31_peiling_plek_kandidaten_gelderse,"['peiling', 'plek', 'kandidaten', 'gelderse', 'kansrijke', 'zetels', 'uit', 'op', 'van', 'de']",
32,32,43,32_și_în_pentru_care,"['și', 'în', 'pentru', 'care', 'să', 'la', 'mai', 'un', 'cu', 'din']",
33,33,35,33_pvv_en_inclusief_debat,"['pvv', 'en', 'inclusief', 'debat', 'ooit', 'waarin', 'nooit', 'vaak', 'ik', 'grote']",
34,34,40,34_wilders_nederland_geert_pvv,"['wilders', 'nederland', 'geert', 'pvv', 'you', 'is', 'nederlanders', 'asylum', 'als', 'for']",
